passengerId,Longest_Run
9441,18
721,18
1677,18
288,18
8961,17
2857,17
8411,17
2939,17
157,17
1651,17
2185,17
2867,17
2437,17
6084,17
5668,17
3608,17
4632,17
2068,17
8353,17
2378,17
798,17
2441,17
3367,17
7643,17
392,16
950,16
211,16
772,16
3173,16
1266,16
6294,16
1074,16
3309,16
5096,16
92,16
7327,16
381,16
739,16
437,16
3117,16
2262,16
2516,16
2251,16
2544,16
1337,16
5416,16
3802,16
8149,16
4827,16
8988,16
888,16
525,16
6036,16
3078,16
7162,16
942,16
628,16
917,16
1265,15
362,15
4774,15
7662,15
4200,15
1769,15
4641,15
5303,15
2155,15
10461,15
839,15
1818,15
6027,15
8363,15
1464,15
3119,15
4249,15
4816,15
1240,15
8590,15
2734,15
4772,15
1158,15
6447,15
7645,15
7433,15
3545,15
4552,15
10795,15
2717,15
3024,15
2277,15
3405,15
1598,15
3867,15
264,15
459,15
7837,15
5769,15
3600,15
5731,15
9252,15
364,15
167,15
3486,15
9410,15
763,15
2254,15
2123,15
4502,15
10329,15
2747,15
3041,15
2518,15
4611,15
1482,15
5332,15
3409,15
3924,15
2065,15
773,15
3880,15
5643,15
6777,15
281,15
4335,15
3021,15
2969,15
3837,15
8358,15
878,15
407,15
2713,15
517,15
833,14
1025,14
8105,14
2443,14
7810,14
5867,14
613,14
3436,14
368,14
2212,14
4293,14
5447,14
5490,14
7533,14
210,14
3650,14
1276,14
2467,14
2134,14
3279,14
2975,14
2789,14
7877,14
435,14
2886,14
6382,14
1008,14
3453,14
631,14
6365,14
8562,14
760,14
972,14
1242,14
2292,14
139,14
479,14
1994,14
10569,14
2489,14
919,14
7581,14
2485,14
5716,14
1029,14
258,14
2964,14
1314,14
3243,14
4034,14
6584,14
9300,14
1733,14
8679,14
2910,14
3112,14
4441,14
5743,14
3527,14
1263,14
1800,14
366,14
843,14
5043,14
8589,14
1248,14
5760,14
5423,14
5560,14
1057,14
8529,14
1369,14
290,14
813,14
4080,14
2272,14
5775,14
5481,14
664,14
649,14
6052,14
1673,14
391,14
6113,14
5711,14
1581,14
848,14
2482,14
1343,14
6001,14
9540,14
4496,14
5796,14
3590,14
4379,14
11198,14
1484,14
4217,14
7590,14
9480,14
4082,14
8642,14
3755,14
3560,14
2408,14
3177,14
2201,14
7853,14
335,14
5007,14
3820,14
1637,14
1562,14
662,14
1023,14
272,14
1617,14
5842,14
749,14
5012,14
3472,14
204,14
4056,14
7820,14
8045,14
276,14
3921,14
905,14
4854,14
6800,14
8981,14
2446,14
5009,14
9363,14
5073,14
18,14
1246,14
5380,14
8882,14
932,14
5544,14
2511,14
1413,14
451,13
2231,13
2488,13
2656,13
5740,13
7661,13
2802,13
4092,13
2035,13
3242,13
7726,13
2294,13
1378,13
7118,13
8036,13
2758,13
4876,13
12298,13
1955,13
4209,13
2062,13
7718,13
8260,13
350,13
2684,13
3171,13
3519,13
6100,13
3071,13
601,13
3180,13
22,13
11483,13
758,13
8375,13
360,13
855,13
3670,13
1942,13
5361,13
1288,13
3029,13
9516,13
603,13
8007,13
5959,13
5819,13
4016,13
6060,13
1089,13
2685,13
4420,13
6827,13
2196,13
2537,13
3645,13
3413,13
7680,13
6900,13
1444,13
2026,13
6050,13
3529,13
920,13
5467,13
1917,13
8234,13
3967,13
2412,13
6293,13
3663,13
544,13
3937,13
4454,13
5015,13
1739,13
1250,13
3332,13
64,13
4247,13
1002,13
7068,13
4478,13
4235,13
4460,13
5330,13
6166,13
8078,13
269,13
8024,13
9364,13
8519,13
1635,13
1828,13
8212,13
4542,13
6059,13
1641,13
5737,13
2702,13
1351,13
6882,13
398,13
2783,13
2588,13
1982,13
3468,13
5966,13
870,13
7039,13
6591,13
2204,13
3093,13
7209,13
1254,13
1315,13
8998,13
8106,13
4009,13
4359,13
5866,13
6093,13
8821,13
7866,13
1555,13
5278,13
6080,13
3589,13
6548,13
2143,13
1209,13
9649,13
5136,13
2728,13
1401,13
9699,13
10440,13
4395,13
3414,13
5942,13
9620,13
394,13
3278,13
6931,13
2596,13
4193,13
8704,13
3461,13
1419,13
3153,13
3801,13
1454,13
968,13
1740,13
9676,13
9367,13
7716,13
2274,13
6987,13
863,13
11290,13
382,13
8837,13
334,13
8609,13
8684,13
2604,13
11834,13
4802,13
1196,13
4147,13
4283,13
298,13
4407,13
4031,13
9683,13
10478,13
7591,13
10196,13
638,13
975,13
3883,13
9777,13
1678,13
199,13
690,13
5081,13
248,13
1095,13
6805,13
3536,13
5977,13
2548,13
8964,13
6180,13
4671,13
4903,13
4955,13
2243,13
6148,13
4850,13
2504,13
9068,13
5198,13
5707,13
8167,13
5002,13
8013,13
10439,13
1338,13
8048,13
420,13
2528,13
8871,13
2509,13
4171,13
9532,13
187,13
393,13
3794,12
4190,12
1143,12
2776,12
8257,12
4364,12
2392,12
3913,12
4000,12
8501,12
2156,12
853,12
1888,12
4097,12
1005,12
10267,12
633,12
3149,12
1468,12
8003,12
1198,12
3152,12
11450,12
126,12
4917,12
5055,12
1201,12
1772,12
1826,12
8132,12
4700,12
9700,12
10640,12
6936,12
5037,12
606,12
3370,12
4538,12
5764,12
253,12
3587,12
8674,12
2323,12
3284,12
3512,12
5401,12
6030,12
1046,12
3741,12
223,12
860,12
2090,12
3859,12
1208,12
1775,12
7418,12
926,12
4363,12
4397,12
3963,12
4070,12
4989,12
9522,12
727,12
5953,12
9077,12
3920,12
5787,12
4784,12
6993,12
47,12
2612,12
6339,12
416,12
1613,12
6067,12
3020,12
4451,12
8040,12
9725,12
2329,12
4656,12
2941,12
363,12
768,12
2138,12
3147,12
674,12
4438,12
9752,12
274,12
2575,12
8121,12
348,12
2383,12
3572,12
5590,12
9944,12
1155,12
7793,12
2911,12
4220,12
6146,12
1218,12
1646,12
4993,12
3925,12
5120,12
8551,12
4012,12
1538,12
2653,12
3709,12
4166,12
4852,12
4399,12
2223,12
3702,12
3364,12
5010,12
8702,12
3249,12
2197,12
9202,12
4627,12
8912,12
7682,12
9369,12
9822,12
4494,12
826,12
1189,12
3573,12
4110,12
4416,12
5789,12
6289,12
262,12
1946,12
10398,12
615,12
5876,12
3330,12
4353,12
8510,12
1624,12
4281,12
979,12
3410,12
6051,12
9098,12
374,12
1108,12
2279,12
2926,12
3773,12
9069,12
3451,12
7612,12
2861,12
3779,12
5997,12
2759,12
5216,12
4983,12
746,12
2206,12
8552,12
3875,12
8579,12
1386,12
3962,12
9703,12
485,12
2906,12
4626,12
456,12
1272,12
441,12
7603,12
7685,12
173,12
4210,12
4881,12
